Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256863448.77,2069870129.87,1272835453.43,1201312829.28,1315158636.68,1468317435.20,1596968946.24,1639492444.76,1893726437.26,1845482173.03,1911563668.85,2118467913.38,2376335048.40,2807061008.69,3576615240.42,4900469511.10,6384452066.51,9206301269.79,11662040713.88,8647937081.26,9260285755.62,10142111824.58,10619320682.95,11121464437.04,11609513246.80,10553337518.41,10546136235.52,11527458709.02,12457940694.74,13619290539.21,12641698583.22,13878908628.94,19513474648.24,24212134631.06
American Samoa,ASM,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512000000.00,524000000.00,509000000.00,500000000.00,493000000.00,518000000.00,560000000.00,675000000.00,573000000.00,570000000.00,640000000.00,638000000.00,643000000.00,673000000.00,671000000.00,612000000.00,639000000.00,647000000.00,721000000.00,750000000.00,871000000.00,
Antigua and Barbuda,ATG,GDP (current US$),,,,,,,,,,,,,,,,,,77496296.30,88033333.33,109585185.19,132440740.74,149377777.78,166425925.93,184848148.15,212192592.59,246344444.44,297537037.04,346840740.74,411374074.07,455148148.15,478692592.59,504307407.41,525103703.70,565633333.33,625051851.85,616014814.81,679111111.11,734392592.59,789762962.96,835514814.81,900551851.85,877514814.81,897988888.89,947955555.56,1026181481.48,1143714814.81,1303548148.15,1487300000.00,1557540740.74,1386444444.44,1298255555.56,1281337037.04,1327107407.41,1325425925.93,1378829629.63,1437755555.56,1489692592.59,1531151851.85,1661529629.63,1725351851.85,1410796296.30,1601366666.67,1867733333.33,2033085185.19
Australia,AUS,GDP (current US$),18606562977.05,19682883149.26,19922563187.61,21539843446.38,23801123808.18,25976164156.19,27307844369.26,30442724870.84,32714085234.25,36683365869.34,41333606613.38,45216647234.66,52040887850.47,63830877642.54,88963890935.89,97303017888.84,105059356494.43,110349850883.23,118491633469.73,134898330114.73,149985515320.33,176893068617.21,194038397881.50,177265418961.89,193518998163.40,180637129503.85,182475517627.31,189487162519.85,236154038684.29,299871835376.04,311420509067.63,325966686052.58,325518458076.53,312128302417.09,322802490487.72,368166023166.02,401341880620.73,435642611296.59,399674421759.48,389652212056.65,416167815092.91,379629301675.11,395788696012.06,467739079790.33,614659980082.52,695692898676.56,748417562769.64,855007458585.22,1056112427190.38,928762122698.05,1148890200292.42,1398701323029.63,1547649835732.89,1577301840200.01,1468597690006.22,1351768945139.11,1207580901578.72,1326882104817.00,1429733668185.91,1394671325960.57,1330381544909.30,1559033756285.13,1692956646855.70,1723827215334.71
Austria,AUT,GDP (current US$),6650133914.55,7375454614.28,7823686765.35,8447136819.84,9249879078.76,10081145818.08,10982543233.37,11680319624.67,12549016578.70,13701141219.25,15373005557.03,17858486066.75,22059612476.93,29515467706.80,35189299911.66,40059206763.06,42959976221.52,51545758887.69,62052259073.25,73937296963.46,82058912997.23,71034228443.06,71275287569.57,72121016546.65,67985344886.87,69386774408.09,99036164939.16,124168442533.74,133339397080.13,133105805512.22,166463386179.35,173794177961.11,195078126721.76,190379720809.18,203535242741.84,241038283062.65,237250948791.27,212790348404.56,218259904401.96,217259147049.95,197289625479.91,197508773215.32,214394866675.24,262273631180.05,301457562038.54,316092273276.02,336280064332.41,389185571506.05,432051935642.95,401758735822.21,392275107258.67,431685217367.51,409401816050.53,430190979705.96,442584815286.03,381971148530.54,395837353031.50,417261151844.98,454991174096.10,444596155845.25,435049316955.74,479295362747.05,470941926750.74,516034144115.95
Azerbaijan,AZE,GDP (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8884848484.85,5344000000.00,444658671.59,1570392598.15,1193141110.35,2417331192.95,3176507376.32,3962362387.48,4446368570.69,4581248566.50,5272615722.97,5707616203.72,6236087738.28,7276413079.11,8680405740.94,13245421880.83,20981929497.62,33049419431.22,48851293785.45,44292427184.95,52909294791.93,65952796427.95,69679944504.20,74160560123.69,75239785452.10,53076235354.75,37866996882.92,40866627351.98,47112470051.77,48174235294.12,42693000000.00,54825411764.71,78807470588.24,72356176470.59
Burundi,BDI,GDP (current US$),195999990.00,202999992.00,213500006.00,232749998.00,260750008.00,158994962.96,165444571.43,178297142.86,183200000.00,190205714.29,242732571.43,252842285.71,246804571.43,304339839.55,345263492.06,420986666.67,448412753.62,547535555.56,610225555.56,782496666.67,919726666.67,969046666.67,1013222222.22,1082926304.46,987143931.17,1149979285.77,1201725497.07,1131466494.01,1082403219.49,1113924130.41,1132101252.52,1167398478.35,1083037670.60,938632612.03,925030590.15,1000428393.89,869033856.32,972896267.92,893770740.21,808077223.37,870486065.88,876794723.07,825394519.42,784654423.62,915257323.40,1117113079.74,1273375078.45,1356199387.42,1611835857.05,1781455139.86,2032135192.01,2235820809.32,2333341334.46,2451606632.29,2705783329.80,3104003546.26,2644487776.50,2723586962.84,2667182199.51,2576518879.82,2649680261.44,2775798697.46,3338722827.66,2642161668.93
Belgium,BEL,GDP (current US$),11810619368.39,12561701694.33,13436827166.52,14445805381.39,16168044450.25,17597783297.46,18894891312.30,20252508995.47,21654856965.43,24019653475.00,26706196046.79,29821661869.91,37209418018.51,47743801490.37,56033077879.04,65678189097.29,71113882967.61,82839905458.64,101246526194.44,116315456796.92,126829314388.19,104730018470.23,92095926187.53,87184239053.25,83349530159.17,86268264148.38,120018787249.41,149394404105.89,162299103675.26,164221056511.06,205331747947.85,210510999409.33,234781652446.68,224721795708.96,244884129491.20,288025588396.28,279201433224.76,252708051420.84,258528339631.03,258245733221.47,236792460312.47,236746141604.37,258383599375.18,318082528506.59,369214712443.21,385714762230.04,408259840868.82,470922156309.45,517328087920.08,483254171097.81,481420882905.00,523330354138.13,496152879924.73,521791015247.06,535390200131.02,462335574841.48,476062757356.93,502764720556.35,543299066998.90,535865804349.80,526021513474.24,600904461226.35,583613982019.26,632216577075.11
Benin,BEN,GDP (current US$),226195578.43,235668220.51,236434954.04,253927697.26,269819005.88,289908680.43,302925235.15,306221953.10,326323105.26,330748244.54,333627713.49,335073027.54,410331856.99,504376074.19,554654860.70,676870140.34,698408261.92,750049778.84,928843469.43,1186231019.82,1405251846.54,1291120188.43,1267778670.36,1095348199.44,1051134008.79,1045712789.15,1336102025.28,1562412227.90,1620246083.79,1502294416.17,1959965330.15,1986437796.53,1695315305.70,2274558082.76,1598075943.87,2169627137.92,2361116449.39,2268301646.47,2455092686.35,3677393998.74,3519991440.48,3666222635.14,4194342686.22,5349258094.48,6190270380.50,6567654954.39,7034111314.89,8169048382.84,9787734526.24,9738626517.00,9535345015.78,10693321363.66,11141358115.90,12517845123.93,13284527846.91,11388160996.77,11821065853.38,12701655836.95,14262408089.93,14390708751.03,15686741883.93,17687623530.34,17425418044.29,19673284686.00
Burkina Faso,BFA,GDP (current US$),330442815.82,350247234.26,379567099.25,394040667.11,410321644.96,422916789.75,433889766.24,450753923.55,460442689.38,478298645.39,458404268.76,482411179.12,578595521.99,674773569.88,751133430.45,939972703.46,976547188.05,1131224878.19,1475583644.94,1748480620.52,1928719888.21,1775842333.57,1754450096.24,1600278605.25,1459880132.14,1552493196.28,2036303357.68,2369834949.73,2616040478.99,2615587733.97,3101300778.56,3135045584.08,3356692505.18,3199536465.23,1895290637.10,2379517975.28,2586550595.41,2447669101.95,2804902367.15,3389566712.66,2968370087.60,3190371080.95,3622350062.96,4740768142.67,5451688537.61,6146353173.35,6547419820.38,7625722836.77,9451435490.11,9450696873.34,10109619740.70,12080295977.56,12561015156.57,13444300485.84,13943016076.74,11832159315.63,12833363045.34,14106955615.34,15890066221.29,16032813501.66,17725010530.79,19643166853.66,18820219331.23,20324617838.97
